target_id,script,png,png_exists,png_bytes,width_px,height_px,png_sha256,pdf,pdf_exists,pdf_bytes,pdf_sha256,stage_a_status
5.1,figures/fig_5_01.py,outputs/figures_png/fig_5_1.png,True,416295,2304,2222,2512233b88989f6bdfc5d187a465a1c1394fe2175981ffe297e2597365c2e72e,outputs/figures_pdf/fig_5_1.pdf,True,178866,cb0be100dc956dd2fbe2623a93da4e5f410169d0daef57a6dde7fd618944f5c7,existing_project_output; stage_b_copy_or_reexport_required
5.2,figures/fig_5_02.py,outputs/figures_png/fig_5_2.png,True,87543,2703,925,52e1db1c8875ade1462a8fb40348c5d6fdecc46bf77511e8bf756574553c91de,outputs/figures_pdf/fig_5_2.pdf,True,13167,009c4ae29cbf0c78a93737670204272b369656270beb235051896ecfb0b9550d,existing_project_output; stage_b_copy_or_reexport_required
5.3,figures/fig_5_03.py,outputs/figures_png/fig_5_3.png,True,64008,2703,765,e72a6de462deeb69b1f0ff456b165263a85348e7f2b6e12d0b0c5633a1702ac0,outputs/figures_pdf/fig_5_3.pdf,True,12487,437036f2daf7eb4839c875689e4c26a89cd6a9809df0db7b639b2511b08a2e78,existing_project_output; stage_b_copy_or_reexport_required
5.4,figures/fig_5_04.py,outputs/figures_png/fig_5_4.png,True,205910,1919,1713,4ef2413e72f60d6c41c3f8f55d35a65a064cbc38375739d22e035e3dcbe24a3a,outputs/figures_pdf/fig_5_4.pdf,True,17825,244e4f7868dac977740361364f6a55c84d510dbcaa01c0f99ba2a0bf46ba222b,existing_project_output; stage_b_copy_or_reexport_required
5.5,figures/fig_5_05.py,outputs/figures_png/fig_5_5.png,True,556878,1642,1563,5bf86ba5823e7f13ffcebb3509486221e30af628f84ba26a91453829198a7976,outputs/figures_pdf/fig_5_5.pdf,True,142885,8d004640f2482cf8dfbadbc241f45514380cc654639960602e74e386afe3971d,existing_project_output; stage_b_copy_or_reexport_required
5.6,figures/fig_5_06.py,outputs/figures_png/fig_5_6.png,True,588057,2425,2222,5bf3e9e1d0cfee0dabdf111485b082b183d904e66b891214acb49b5a1c10848f,outputs/figures_pdf/fig_5_6.pdf,True,124247,f5559c061a3211f960ba21fc256fccf5c9539c4529cf95ff2deeaabaeaf181ba,existing_project_output; stage_b_copy_or_reexport_required
5.7,figures/fig_5_07.py,outputs/figures_png/fig_5_7.png,True,595585,2425,2222,182094ec578fd66736db2cce5496ec717f603a6cf2ecaf7eb9d29a4a6060a2c6,outputs/figures_pdf/fig_5_7.pdf,True,119522,df63c9ebfc54f6329c55ee0b59ba49ab848beb248793d6afb2b4a805c698c7eb,existing_project_output; stage_b_copy_or_reexport_required
5.8,figures/fig_5_08.py,outputs/figures_png/fig_5_8.png,True,469662,2690,1383,3c5e082e54b4fe5ae0e75e82b3d8f9f03bf3be0c384efe69c0684174471e77fb,outputs/figures_pdf/fig_5_8.pdf,True,39015,1cb10921d043ee58eda69f89dfbfeaaf96287858229fcecfd6406c13c33224cc,existing_project_output; stage_b_copy_or_reexport_required
5.9,figures/fig_5_09.py,outputs/figures_png/fig_5_9.png,True,272126,1398,1453,9146a5da1bdaddf840580b8a14f75dc4ee34f3b0236bf18c17af12d882797797,outputs/figures_pdf/fig_5_9.pdf,True,150382,8cdbca4b94242fa76fbfa45e915490d44f1afaa5a5bd10baa4bb2d602632752b,existing_project_output; stage_b_copy_or_reexport_required
5.10,figures/fig_5_10.py,outputs/figures_png/fig_5_10.png,True,319371,2404,1353,21a5bb51a8ac843fdac5d911c7c8e46c98e166500c0661edb398a0c032add9ca,outputs/figures_pdf/fig_5_10.pdf,True,23033,0006baf1a97754114434cb0dd0a0dfc183648b6b07e15685cccf0cc6790044b3,existing_project_output; stage_b_copy_or_reexport_required
5.11,figures/fig_5_11.py,outputs/figures_png/fig_5_11.png,True,307584,2404,1353,4738dcbdd581d0abef2acb72b03dc9c149c66f65f1c4a933343b98abffd6b725,outputs/figures_pdf/fig_5_11.pdf,True,22186,2916d1311b867ab2ad9eca38e5aed32b80bd2a28847a331e4836e47157aa7e23,existing_project_output; stage_b_copy_or_reexport_required
5.12,figures/fig_5_12.py,outputs/figures_png/fig_5_12.png,True,78471,2012,1083,c7ad5a8fb3133c35817ac8f3916704f0672c8e2f45e83985204fa321ab402681,outputs/figures_pdf/fig_5_12.pdf,True,25306,18f2bdd5db8798f9343cc868954fb2fb9a84436b7acdbdd2157e424ff4713d0a,existing_project_output; stage_b_copy_or_reexport_required
5.13,figures/fig_5_13.py,outputs/figures_png/fig_5_13.png,True,82719,1890,1563,5a0e3ac4de1fa32ee0a6cedec0a3a1d4eea32a7829a0d2afc7691778a16088dc,outputs/figures_pdf/fig_5_13.pdf,True,36653,1f888d8205dd8f7d9da648c40cccd9e77850f8a0e6ed0b4a581f4e7d29fc6507,existing_project_output; stage_b_copy_or_reexport_required
5.14,figures/fig_5_14.py,outputs/figures_png/fig_5_14.png,True,289385,1803,2582,d83ead696cf161111a247974848817e371aaa92ca6a0ca4a010544aa3858ca4c,outputs/figures_pdf/fig_5_14.pdf,True,80747,db802280a3126f72b8f130641a11beceb92bc322b306e419c4b8156c898a2741,existing_project_output; stage_b_copy_or_reexport_required
