theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
10,3,213.0,67.5,22596.75510340542,-311.57043179175025,1.0,8.760103753502335e-12
10,4,213.0,90.0,22597.170161018068,-311.570421869826,1.0,8.883560553840653e-12
10,5,213.0,112.5,22597.630987378096,-311.57042581385184,1.0,8.944844864799961e-12
10,6,213.0,135.0,22598.06802071539,-311.57044321512376,1.0,8.908429549592256e-12
10,7,213.0,157.5,22598.414469471314,-311.57047134167277,1.0,8.782752303204688e-12
10,8,213.0,180.0,22598.617085902195,-311.5705057494097,1.0,8.914202709320307e-12
10,9,213.0,202.5,22598.64455646499,-311.5705410499072,1.0,8.8689056099156e-12
10,10,213.0,225.0,22598.493726315155,-311.570572200895,1.0,8.913314530900607e-12
10,11,213.0,247.5,22598.188080010033,-311.5705946281909,1.0,8.843592524954147e-12
10,12,213.0,270.0,22597.773442036098,-311.57060468847516,1.0,8.79429862266079e-12
10,13,213.0,292.5,22597.311140803013,-311.5706002695712,1.0,8.892886427247504e-12
10,14,213.0,315.0,22596.874093639628,-311.57058286272115,1.0,8.757883307453085e-12
10,15,213.0,337.5,22596.529575241624,-311.5705553565085,1.0,8.785860927673639e-12
11,0,214.0,0.0,21128.171367063802,-311.57379712812383,1.0,6.52766729558607e-12
11,1,214.0,22.5,21128.125685516818,-311.5737625125089,1.0,6.5147887085004186e-12
11,2,214.0,45.0,21128.255035197057,-311.57373186455305,1.0,6.498357407735966e-12
11,3,214.0,67.5,21128.54036426762,-311.57371006591967,1.0,6.469047519885862e-12
11,4,214.0,90.0,21128.935994479038,-311.5736996793498,1.0,6.432632204678157e-12
11,5,214.0,112.5,21129.383389498267,-311.57370285704786,1.0,6.488143355909415e-12
11,6,214.0,135.0,21129.813911648736,-311.57371893756033,1.0,6.529443652425471e-12
11,7,214.0,157.5,21130.16305862429,-311.5737458239941,1.0,6.4570571112199104e-12
11,8,214.0,180.0,21130.375536524483,-311.5737787021885,1.0,6.429967669419057e-12
11,9,214.0,202.5,21130.42061203593,-311.5738131119174,1.0,6.533440455314121e-12
11,10,214.0,225.0,21130.290937125752,-311.573843651111,1.0,6.5214500466481695e-12
11,11,214.0,247.5,21130.006954269073,-311.5738659065895,1.0,6.533440455314121e-12
11,12,214.0,270.0,21129.610754203535,-311.5738761039777,1.0,6.5782934655089775e-12
11,13,214.0,292.5,21129.16249189912,-311.5738726352513,1.0,6.417533171543255e-12
11,14,214.0,315.0,21128.732435351496,-311.57385671086763,1.0,6.488587445119265e-12
