sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
626,217.5733798806894,0.9902788462075112,0.004630970354124271,0.004991238099905316,0.003781147402122999,0.00945973531726174,-0.006305257710352974,1775120.979247947,3.000609575982075
627,217.9209411904029,0.9903015778777114,0.004687240817172436,0.004953288284953067,0.003822797614411344,0.009363290752105714,-0.006389393781397018,1773264.489657301,3.000609575982075
628,218.2685025001165,0.9903245566083375,0.004742930867267601,0.00491483686578675,0.003863791222317536,0.009265580420481579,-0.006473049935324738,1771374.660734248,3.000609575982076
629,218.6160638098301,0.9903477784510998,0.004798032957370769,0.004875886733807739,0.003904120692885174,0.009166611276141694,-0.006556218788206492,1769451.308618933,3.000609575982075
630,218.9636251195436,0.9903712394129408,0.004852539582165839,0.004836440824655219,0.003943778583725076,0.009066390321914855,-0.006638892925534212,1767494.25084344,3.000609575982075
631,219.3111864292572,0.9903949354565795,0.004906443278347741,0.004796502118394193,0.003982757544139836,0.008964924607944333,-0.006721064900480341,1765503.306494219,3.000609575982076
632,219.6587477389707,0.9904188625010637,0.004959736624900088,0.004756073639714056,0.004021050316255631,0.008862221229938272,-0.006802727232099068,1763478.296375724,3.000609575982076
633,220.0063090486843,0.9904430164223273,0.005012412243362408,0.004715158458138107,0.004058649736162822,0.00875828732743395,-0.006883872403469004,1761419.043175667,3.000609575982075
634,220.3538703583979,0.9904673930537568,0.005064462798087041,0.004673759688244344,0.004095548735065915,0.008653130082077925,-0.006964492859775946,1759325.371631436,3.000609575982075
635,220.7014316681114,0.9904919881867623,0.0051158809964858,0.0046318804898979,0.004131740340444477,0.008546756715923573,-0.007044581006334886,1757197.108698011,3.000609575982075
636,221.048992977825,0.9905167975713572,0.005166659589266517,0.004589524068495487,0.004167217677226207,0.008439174489748002,-0.007124129206550064,1755034.083717283,3.000609575982075
637,221.3965542875385,0.9905418169167448,0.005216791370659591,0.004546693675222237,0.004201973968972865,0.008330390701390227,-0.007203129779811892,1752836.128588535,3.000609575982076
638,221.7441155972521,0.9905670418919104,0.005266269178634656,0.00450339260732129,0.004236002539081538,0.008220412684112393,-0.007281574999329815,1750603.077940604,3.000609575982075
639,222.0916769069657,0.9905924681262227,0.005315085895107539,0.004459624208376552,0.004269296812000982,0.008109247804986272,-0.007359457089899726,1748334.769305138,3.000609575982075
640,222.4392382166792,0.9906180912100417,0.005363234446137648,0.00441539186860898,0.004301850314465841,0.007996903463306936,-0.007436768225604938,1746031.043291362,3.000609575982076
641,222.7867995263928,0.9906439066953338,0.005410707802115952,0.00437069902518684,0.004333656676749071,0.007883387089035876,-0.007513500527449423,1743691.743762206,3.000609575982076
642,223.1343608361063,0.9906699100962939,0.005457498977943759,0.00432554916255029,0.004364709633934686,0.007768706141275664,-0.007589646060922224,1741316.718011845,3.000609575982075
643,223.4819221458199,0.9906960968899773,0.005503601033202469,0.00427994581275076,0.004395003027211807,0.007652868106778532,-0.007665196833491758,1738905.816944552,3.000609575982075
644,223.8294834555335,0.990722462516937,0.005549007072314521,0.004233892555805514,0.004424530805191603,0.007535880498491328,-0.007740144792028739,1736458.895255046,3.000609575982076
645,224.177044765247,0.9907490023818702,0.005593710244695746,0.004187393020067832,0.004453287025249077,0.007417750854139015,-0.007814481820156699,1733975.811610237,3.000609575982076
646,224.5246060749606,0.9907757118542729,0.005637703744899386,0.004140450882613267,0.004481265854890438,0.007298486734849723,-0.007888199735528536,1731456.428832421,3.000609575982076
647,224.8721673846742,0.9908025862691021,0.005680980812752008,0.004093069869642389,0.004508461573148297,0.007178095723823563,-0.007961290287028151,1728900.614083909,3.000609575982076
648,225.2197286943877,0.9908296209274471,0.005723534733481612,0.004045253756900512,0.004534868572005946,0.007056585425048397,-0.008033745151895585,1726308.23905316,3.000609575982075
649,225.5672900041013,0.990856811097209,0.0057653588378382,0.003997006370114812,0.004560481357852687,0.006933963462064954,-0.008105555932774759,1723679.180142411,3.000609575982075
650,225.9148513138148,0.9908841520137897,0.005806446502207113,0.003948331585449362,0.004585294552971315,0.006810237476784825,-0.008176714154682095,1721013.3186568,3.000609575982075
651,226.2624126235284,0.9909116388807881,0.005846791148715479,0.003899233329978504,0.004609302897060059,0.006685415128363958,-0.008247211261895118,1718310.540995144,3.000609575982075
652,226.609973933242,0.9909392668707084,0.005886386245332083,0.003849715582179081,0.004632501248790469,0.006559504092135172,-0.008317038614759534,1715570.738842147,3.000609575982075
653,226.9575352429555,0.9909670311256747,0.00592522530596106,0.003799782372442003,0.004654884587402802,0.006432512058603007,-0.008386187486413545,1712793.80936237,3.000609575982075
654,227.3050965526691,0.9909949267581575,0.005963301890529756,0.003749437783603643,0.004676448014340949,0.006304446732504397,-0.008454649059428106,1709979.655395769,3.000609575982075
655,227.6526578623827,0.9910229488517092,0.006000609605071183,0.003698685951497584,0.004697186754928825,0.006175315831938805,-0.008522414422361924,1707128.185654892,3.000609575982075
656,228.0002191720962,0.9910510924617097,0.006037142101801499,0.003647531065527214,0.00471709616008955,0.006045127087571726,-0.00858947456622979,1704239.314923893,3.000609575982075
657,228.3477804818098,0.9910793526161229,0.006072893079192946,0.003595977369259698,0.004736171708110062,0.005913888241915385,-0.008655820380883179,1701312.964259241,3.000609575982076
658,228.6953417915234,0.9911077243162633,0.006107856282042726,0.003544029161041863,0.004754409006452093,0.005781607048691043,-0.008721442651301654,1698349.061192197,3.000609575982076
659,229.0429031012369,0.9911362025375738,0.006142025501538336,0.003491690794638513,0.004771803793612277,0.005648291272276933,-0.008786332053794099,1695347.539933239,3.000609575982075
660,229.3904644109505,0.9911647822304153,0.006175394575319844,0.003438966679893745,0.004788351941032998,0.005513948687246605,-0.008850479152108426,1692308.341578312,3.000609575982075
661,229.738025720664,0.9911934583208666,0.00620795738753971,0.003385861283415784,0.004804049455065752,0.005378587078002234,-0.008913874393448717,1689231.414317021,3.000609575982075
662,230.0855870303776,0.991222225711538,0.006239707868920698,0.003332379129285926,0.004818892478989216,0.005242214238507985,-0.008976508104398583,1686116.713642826,3.000609575982075
663,230.4331483400911,0.9912510792823952,0.006270639996812509,0.003278524799792122,0.004832877295083977,0.005104837972128387,-0.009038370486749814,1682964.202565316,3.000609575982075
664,230.7807096498047,0.9912800138915973,0.006300747795247774,0.003224302936187801,0.004846000326765998,0.0049664660915772,-0.009099451613235238,1679773.851824554,3.000609575982075
665,231.1282709595183,0.9913090243763468,0.006330025334998087,0.003169718239476484,0.004858258140780515,0.004827106418982497,-0.009159741423164756,1676545.640107545,3.000609575982075
666,231.4758322692319,0.9913381055537538,0.006358466733630792,0.00311477547122279,0.004869647449458798,0.004686766786073552,-0.009219229717963871,1673279.554266979,3.000609575982075
667,231.8233935789454,0.9913672522217125,0.006386066155567256,0.003059479454390406,0.004880165113039559,0.00454545503449592,-0.009277906156613738,1669975.589542228,3.000609575982075
668,232.1709548886589,0.9913964591597937,0.006412817812143441,0.003003835074207606,0.004889808142057173,0.00440317901626085,-0.009335760250992144,1666633.749782627,3.000609575982076
669,232.5185161983725,0.9914257211301494,0.00643871596167356,0.002947847279060947,0.00489857369979832,0.004259946594336017,-0.009392781361114662,1663254.047673302,3.000609575982075
670,232.8660775080861,0.9914550328784346,0.006463754909517731,0.002891521081417693,0.004906459104830024,0.004115765643384141,-0.009448958690275686,1659836.504963266,3.000609575982076
671,233.2136388177996,0.9914843891347435,0.006487929008154483,0.002834861558777605,0.004913461833599891,0.003970644050657125,-0.009504281280088737,1656381.152696163,3.000609575982076
672,233.5612001275132,0.9915137846145604,0.0065112326572591,0.002777873854654679,0.004919579523111589,0.003824589717053018,-0.009558738005425994,1652888.031443642,3.000609575982075
673,233.9087614372268,0.9915432140197288,0.006533660303788802,0.002720563179589445,0.0049248099736767,0.003677610558343984,-0.009612317569256772,1649357.191541319,3.000609575982075
674,234.2563227469404,0.9915726720394358,0.006555206442075781,0.002662934812192424,0.004929151151745717,0.003529714506583197,-0.00966500849738521,1645788.693327486,3.000609575982076
675,234.6038840566539,0.9916021533512142,0.006575865613929219,0.002604994100219353,0.004932601192819348,0.003380909511699621,-0.00971679913308723,1642182.60738468,3.000609575982075
676,234.9514453663674,0.991631652621962,0.006595632408747417,0.00254674646167877,0.004935158404442659,0.003231203543289361,-0.009767677631647369,1638539.014784099,3.000609575982075
677,235.299006676081,0.9916611645089801,0.006614501463641244,0.002488197385972567,0.004936821269283189,0.003080604592613192,-0.009817631954796019,1634858.007332989,3.000609575982075
