mode,panel,sample,epoch_utc,phase_deg,time_days,x_sun_moon_km,y_sun_moon_km,z_sun_moon_km,earth_moon_distance_km,sun_moon_distance_km,lunar_eclipse,earth_occultation,cr3bp_jacobi_span,frame_orthogonality_error,eclipse_duration_hours,earth_occultation_hours,minimum_shadow_clearance_km
phase,3,290,2020-06-15T00:00:00Z,120,119.1449862022229,12152.97130290732,78379.77416469282,2048.446976425021,375916.771056335,149135418.2526183,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,291,2020-06-15T00:00:00Z,120,119.5558309822306,21218.97059181777,81236.57436467797,1487.513318180787,373378.3344661942,149089229.2740378,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,292,2020-06-15T00:00:00Z,120,119.9666757622382,28607.53484817142,83779.22171427772,737.5038059854378,370899.6800946544,149044599.6853638,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,293,2020-06-15T00:00:00Z,120,120.3775205422459,34374.02378735245,85751.69855648647,-151.6458715819463,368516.7821452747,149001796.8740916,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,294,2020-06-15T00:00:00Z,120,120.7883653222536,38698.96901812239,86927.45201467519,-1127.622942057191,366266.3387503762,148961082.1429438,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,295,2020-06-15T00:00:00Z,120,121.1992101022612,41839.93758452255,87129.68801458282,-2139.480860449024,364184.896250925,148922706.2808582,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,296,2020-06-15T00:00:00Z,120,121.6100548822689,44093.38346845523,86239.58380206914,-3139.873299285515,362307.8718244281,148886904.6990694,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,297,2020-06-15T00:00:00Z,120,122.0208996622765,45765.86628138611,84195.6606805171,-4086.229585285517,360668.508823658,148853892.2912357,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,298,2020-06-15T00:00:00Z,120,122.4317444422842,47152.45519723042,80988.01274807373,-4941.219730913726,359296.8108650106,148823858.2325879,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,299,2020-06-15T00:00:00Z,120,122.8425892222919,48520.09329783099,76650.18740938821,-5672.758674699402,358218.5103367363,148796960.9792528,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,300,2020-06-15T00:00:00Z,120,123.2534340022996,50094.14984210384,71250.66445499222,-6253.736803733245,357454.1326978246,148773323.7565523,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,301,2020-06-15T00:00:00Z,120,123.6642787823072,52047.05374354428,64885.48424338395,-6661.657990908159,357018.2181525536,148753030.8263447,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,302,2020-06-15T00:00:00Z,120,124.0751235623149,54488.86395563827,57673.55998691217,-6878.429562541409,356918.7559550192,148736124.7937092,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,303,2020-06-15T00:00:00Z,120,124.4859683423226,57461.12261467112,49756.10980588472,-6890.65771979155,357156.8737582294,148722605.1523986,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
phase,3,304,2020-06-15T00:00:00Z,120,124.8968131223302,60937.20914011283,41300.43865231828,-6690.82370575266,357726.8061671172,148712428.1819863,0,0,2.664535259100376e-15,4.440892098500626e-16,0,0,4522.425019206104
