member_index,correction_type,curve_samples,previous_max_abs_z_km,max_abs_z_km,delta_max_abs_z_km,previous_rho_rad,rho_rad,delta_rho_rad,mapping_time_days,mapping_time_error_days,mean_jacobi,map_residual_max,curve_jacobi_span,amplitude_residual,phase_residual,one_map_sweep_jacobi_drift,jacobi_ten_return_span,phase_return_error,condition_number,validation_status,gate_1_residual,gate_2_jacobi,gate_3_phase,gate_4_rho_monotone,gate_5_amplitude,gate_6_mapping_time,gate_7_condition,strict_acceptance,passes_10500_gate,passes_11000_gate,failed_gates
38,FixedRotationCurveCorrection,45,13193.57265586817,13294.85065746332,101.278001595143,1.452144533685747,1.452458593069021,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922141577777221,2.12072960357183e-11,1.386601944375343e-10,0,-1.435720845596039e-18,1.386601944375343e-10,2.220446049250313e-15,1.316795242189611e-12,49513324.04114068,validated extended CR3BP member,True,False,True,True,True,True,True,False,False,False,gate_2_jacobi
39,FixedRotationCurveCorrection,45,13294.85065746332,13395.14193064785,100.2912731845299,1.452458593069021,1.452772652452295,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.92213612766407,3.421724490589558e-11,2.764588558079595e-11,0,7.900276299040859e-18,2.76472178484255e-11,2.664535259100376e-15,1.55980158693003e-12,38769167.42466936,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
40,FixedRotationCurveCorrection,45,13395.14193064785,13494.40530220624,99.26337155839246,1.452772652452295,1.453086711835569,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922130672640692,5.641034971328298e-11,2.076694372021848e-11,0,4.375772205515716e-18,2.076738780942833e-11,5.329070518200751e-15,2.311643192998042e-12,29869434.30014386,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
41,FixedRotationCurveCorrection,45,13494.40530220624,13592.58497282573,98.17967061949275,1.453086711835569,1.453400771218843,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922125212740528,9.758223709434515e-11,2.184208369726548e-11,0,1.043841052548837e-17,2.184252778647533e-11,2.220446049250313e-15,3.275336936747361e-12,22600368.45176423,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
42,FixedRotationCurveCorrection,45,13592.58497282573,13689.60588773216,97.0209149064267,1.453400771218843,1.453714830602116,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922119747997264,1.74744073365407e-10,2.853361991128622e-11,0,4.344431986467306e-18,2.853361991128622e-11,5.773159728050814e-15,4.852260361893214e-12,16755546.54100456,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
43,FixedRotationCurveCorrection,45,13689.60588773216,13785.36677110888,95.76088337672081,1.453714830602116,1.45402888998539,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922114278444724,3.269890619037022e-10,4.377120887966157e-11,0,1.086489161443091e-17,4.377298523650097e-11,2.664535259100376e-15,7.827921458326033e-12,12138119.29689573,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
44,FixedRotationCurveCorrection,45,13785.36677110888,13879.72976305561,94.3629919467312,1.45402888998539,1.454342949368664,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922108804116578,6.469474407020314e-10,7.759926035078024e-11,0,9.554531645028508e-18,7.760059261840979e-11,3.552713678800501e-15,1.472079271834246e-11,8562983.148015797,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
45,FixedRotationCurveCorrection,45,13879.72976305561,13972.50450034627,92.77473729065969,1.454342949368664,1.454657008751938,0.0003140593832737792,14.74932760227518,1.77635683940025e-15,2.922103325045576,1.376887936736555e-09,1.562119322784383e-10,0,3.799027471730262e-17,1.562123763676482e-10,3.108624468950438e-15,3.277896886492236e-11,5857862.701374876,validated extended CR3BP member,False,False,True,True,True,True,True,False,False,False,gate_1_residual; gate_2_jacobi
46,FixedRotationCurveCorrection,45,13972.50450034627,14027.88862307368,55.38412272741334,1.454657008751938,1.454847435952255,0.0001904272003176999,14.74932760227518,1.77635683940025e-15,2.922100000580228,9.526019496914189e-13,1.100275426324515e-11,0,5.688885031996695e-18,1.100275426324515e-11,3.552713678800501e-15,4.028225301215976e-14,167499085.6624853,validated extended CR3BP member,True,True,True,True,True,True,True,True,True,True,
47,FixedRotationCurveCorrection,45,14027.88862307368,14063.42276268404,35.53413961035403,1.454847435952255,1.454971068135211,0.0001236321829560794,14.74932760227518,1.77635683940025e-15,2.9220978412609,3.247089220500083e-09,3.560263195367952e-10,0,1.210511725580066e-16,3.560276518044247e-10,3.552713678800501e-15,8.339488182692891e-11,3865108.809102712,validated extended CR3BP member,False,False,True,True,True,True,True,False,False,False,gate_1_residual; gate_2_jacobi
