target_jacobi,best_evidence_source,audit_status,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,10,2.991993003418851,0.7958593856556574,-3.039934859100367e-05,0.00014906000562862548,-3.7681720372714924e-05,0.5316103022832617,0.0015557358648752037,2.9224969610737315,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,11,3.291192303760736,0.7958593851187503,-2.7728906600309954e-05,-0.00014900547734413957,-3.6195591216665775e-05,0.5316103032261531,0.0015557306484637544,2.922496961073735,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,12,3.5903916041026207,0.7958605145919279,-2.5521796195547587e-05,-0.0004338374905902012,-3.496744849382552e-05,0.531609306295259,0.0014174826402085382,2.9224969610737235,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,13,3.889590904444506,0.7958623816201571,-2.4544825947969948e-05,-0.0006801353518579924,-3.442383699807466e-05,0.5316076578620589,0.0011532827787516227,2.922496961073719,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,14,4.188790204786391,0.7958643374149325,-2.5137940083127134e-05,-0.0008660116049637429,-3.475420060702643e-05,0.5316059307321577,0.0007866151079787521,2.922496961073731,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,15,4.487989505128276,0.7958657022646629,-2.709554398751036e-05,-0.000974938932262152,-3.584438189575291e-05,0.5316047251611976,0.00035006354466086774,2.9224969610737332,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,16,4.787188805470161,0.7958660017865398,-2.9737282748120995e-05,-0.0009972272613302895,-3.7315464094206795e-05,0.5316044602026821,-0.00011758626754680209,2.9224969610737364,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,17,5.086388105812047,0.795865131870165,-3.2144536496329264e-05,-0.0009308933562080635,-3.8655524258578974e-05,0.5316052279625927,-0.0005747903110797077,2.922496961073728,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,18,5.385587406153931,0.7958633948834497,-3.34803670997589e-05,-0.000781839160339076,-3.9398411448478015e-05,0.5316067615562403,-0.0009809309994195648,2.9224969610737266,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,19,5.684786706495816,0.7958613945262589,-3.3280834297968947e-05,-0.0005633214452293395,-3.928631559865012e-05,0.5316085279467659,-0.0012999209589806967,2.922496961073726,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
2.9225,cold_start_checkpoint_member_0,paper_reported_precision,20,5.983986006837702,0.7958598259576782,-3.16158571547847e-05,-0.0002947643606746291,-3.835890719349223e-05,0.5316099132871109,-0.0015034095407696574,2.922496961073734,14.749327602275182,1.4312317226704832,21,7.068741303454738e-13,1.8207657603852567e-14
