sample,elapsed_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_radius_km,jacobi
708,341.1473917429738,0.9903251033678212,-0.003464940504492689,0.004335798570348371,-0.003606788453326171,0.004946086070972889,-0.004647236953826202,1668203.940765566,3.000730353763386
709,341.6292383414808,0.9902952645081108,-0.003423435377254114,0.004296803788097182,-0.003592667053108329,0.005068461156125371,-0.004761587395927604,1667905.808607062,3.000730353763387
710,342.1110849399878,0.9902655505508027,-0.003380919916662629,0.004256865293098396,-0.003576650231280357,0.005189860458567307,-0.004874940992640601,1667547.017614721,3.000730353763386
711,342.5929315384948,0.9902359772233013,-0.003337402393914529,0.004215991420796957,-0.003558734152351143,0.005310239735869428,-0.004987280141648271,1667129.408420126,3.000730353763387
712,343.0747781370018,0.9902065602807567,-0.003292891448489398,0.004174190653704037,-0.003538915960077687,0.005429554371314422,-0.005098586960031642,1666654.852275276,3.000730353763387
713,343.5566247355089,0.9901773154978716,-0.003247396091167944,0.004131471623718488,-0.003517193796187988,0.005547759394479668,-0.005208843285445567,1666125.249642709,3.000730353763386
714,344.0384713340159,0.9901482586605493,-0.00320092570687479,0.004087843114435752,-0.003493566819464456,0.005664809502900881,-0.005318030677972428,1665542.528742794,3.000730353763386
715,344.5203179325229,0.9901194055573843,-0.0031534900573371,0.004043314063438531,-0.003468035225134125,0.005780659084843959,-0.00542613042267373,1664908.644057079,3.000730353763387
716,345.0021645310299,0.9900907719709892,-0.003105099283549784,0.003997893564563335,-0.003440600264507397,0.005895262243211644,-0.005533123532860677,1664225.574787159,3.000730353763386
717,345.484011129537,0.9900623736691596,-0.003055763908037755,0.003951590870136873,-0.003411264264804053,0.006008572820609535,-0.00563899075410429,1663495.323268268,3.000730353763386
718,345.965857728044,0.9900342263958735,-0.003005494836905522,0.003904415393176075,-0.003380030649101063,0.006120544425594338,-0.005743712569005774,1662719.913337329,3.000730353763386
719,346.447704326551,0.9900063458621243,-0.002954303361664259,0.003856376709545344,-0.003346903956334311,0.006231130460124695,-0.005847269202747053,1661901.388654939,3.000730353763386
720,346.929550925058,0.98997874773659,-0.002902201160826277,0.0038074845600645,-0.003311889861280317,0.006340284148233092,-0.005949640629441631,1661041.810981093,3.000730353763386
