member_index,curve_samples,target_jacobi,mode_amplitude_nd,mapping_time_nd,mapping_time_days,rotation_angle_rad,frequency_ratio,curve_residual,curve_jacobi_span,continuation_step,newton_iterations
38,15,3.1389,0.01003868392367957,2.9495363516513,12.80688683886994,0.3213405042004415,19.55304490111942,8.957132653125085e-10,1.225773118118667e-06,0.00864,8
39,15,3.1389,0.01025004043621932,2.948790950873393,12.80365030869227,0.3180674973498165,19.7542514074276,1.325253808433599e-09,1.564170625467654e-06,0.00864,8
40,21,3.1389,0.01025004043622542,2.94871913585523,12.80333848788341,0.3177518106403596,19.7738772739554,3.554592700017987e-11,1.445205288774787e-09,nan,9
41,21,3.1389,0.01038362738300413,2.948230194009108,12.80121550238755,0.3156007063528211,19.90865413385797,1.184231673256585e-12,1.590011677876646e-09,0.006419607719698519,17
42,21,3.1389,0.01051561693692701,2.94773522664353,12.79906635408621,0.3134199256185973,20.04717886005,1.501910042863425e-12,1.708495567243062e-09,0.006419607719698519,6
43,21,3.1389,0.01067207848929385,2.947132563098696,12.79644958897454,0.3107601746491079,20.21875973738974,1.891133670635942e-12,1.787855641310898e-09,0.007703529263638222,6
44,21,3.1389,0.01085697011513926,2.94639700300917,12.79325578706582,0.3075069491622263,20.4326611944788,1.709262041360388e-12,1.727690435160412e-09,0.009244235116365867,7
45,21,3.1389,0.0110386145610748,2.945648215187249,12.79000455034303,0.3041869457237348,20.65567045367564,4.186256794206238e-12,1.401060156780431e-09,0.009244235116365867,7
46,21,3.1389,0.01121687742280958,2.944886502454151,12.78669719365592,0.3008005737921819,20.88820918114516,1.685041401671979e-12,6.121370077494248e-10,0.009244235116365867,7
47,21,3.1389,0.01139162335900488,2.944112178411812,12.78333507866409,0.2973482093004278,21.13073195215151,1.496283241297531e-10,9.555876090416859e-10,0.009244235116365867,7
48,21,3.1389,0.01156271137926637,2.943325587909702,12.77991970270392,0.2938302784863725,21.3837230783246,2.110159195239753e-12,3.716542629206288e-09,0.009244235116365867,8
49,21,3.1389,0.01172999465579203,2.94252711018033,12.77645271240299,0.2902472648301449,21.64769859539093,1.839148981390613e-12,8.253501881938519e-09,0.009244235116365867,8
50,21,3.1389,0.01189332036797448,2.941717162218325,12.77293591835197,0.2865997168543906,21.92320835533767,3.280259243417468e-12,1.53741623876158e-08,0.009244235116365867,8
51,21,3.1389,0.01205252959155105,2.940896202408651,12.76937131085836,0.2828882569102322,22.21083821508153,7.763820067882108e-12,2.618359573602902e-08,0.009244235116365867,8
52,21,3.1389,0.012207457245788,2.940064734417341,12.76576107684009,0.2791135910185368,22.51121231413737,8.060008890717686e-11,4.217529969707812e-08,0.009244235116365867,8
