theta0_index,theta1_index,theta0_deg,theta1_deg,periapsis_radius_km,periapsis_time_days,selected_half_manifold_sign,jacobi_drift
10,10,213.0,225.0,622745.8196952528,-294.99902474999163,1.0,3.552713678800501e-15
10,11,213.0,247.5,482485.70181532024,-294.88066598919494,1.0,9.947598300641403e-14
10,12,213.0,270.0,374355.91875213454,-291.3897163897364,1.0,4.014566457044566e-13
10,13,213.0,292.5,285486.7173135394,-411.5642664375617,1.0,2.9234392684429622e-12
10,14,213.0,315.0,388932.46313960874,-284.5934460897863,1.0,4.884981308350689e-13
10,15,213.0,337.5,486956.95327752206,-283.20003077057777,1.0,4.973799150320701e-14
11,0,214.0,0.0,370096.18964978924,-349.6046778332585,1.0,9.849898674474389e-13
11,1,214.0,22.5,416421.3940899526,-355.8780162199499,1.0,2.69562150378988e-13
11,2,214.0,45.0,631345.4965120063,-294.83200100430696,1.0,1.3322676295501878e-15
11,3,214.0,67.5,491330.0997016585,-294.97652762179536,1.0,1.2967404927621828e-13
11,4,214.0,90.0,381341.3590366153,-291.4762143910049,1.0,6.3860028376439e-13
11,5,214.0,112.5,292820.17504473624,-411.09912537268434,1.0,9.032774528350274e-13
11,6,214.0,135.0,389285.92683341255,-284.6245518046957,1.0,4.742872761198669e-13
11,7,214.0,157.5,485173.9360552014,-283.02384718277756,1.0,3.2862601528904634e-14
11,8,214.0,180.0,370043.7331584071,-349.6024442111134,1.0,9.836575998178887e-13
11,9,214.0,202.5,417879.1786686776,-355.90888905759397,1.0,2.540190280342358e-13
11,10,214.0,225.0,631783.6945388789,-294.79717336718784,1.0,1.7763568394002505e-15
11,11,214.0,247.5,491759.22830197733,-294.95687733581065,1.0,1.163513729807164e-13
11,12,214.0,270.0,380640.63713000476,-291.5171903064284,1.0,4.0101255649460654e-13
11,13,214.0,292.5,293137.8976993911,-411.06067520848705,1.0,1.119992987241858e-12
11,14,214.0,315.0,389317.31698082894,-284.5873021237542,1.0,4.836131495267182e-13
11,15,214.0,337.5,485301.26956562075,-283.07158780434713,1.0,3.552713678800501e-14
12,0,215.0,0.0,356653.4853847579,-349.512384694591,1.0,3.930189507173054e-13
12,1,215.0,22.5,395201.65014479693,-355.9231352797577,1.0,6.186162693211372e-13
12,2,215.0,45.0,640150.2526594349,-294.60639249954835,1.0,0.0
12,3,215.0,67.5,500647.8098161103,-295.0428238481704,1.0,1.212363542890671e-13
12,4,215.0,90.0,387733.52068071585,-291.6011478294956,1.0,6.221689829999377e-13
12,5,215.0,112.5,301323.79078892426,-410.60885459877755,1.0,1.3065104553788842e-12
12,6,215.0,135.0,389686.3488331981,-284.62326179182816,1.0,4.702904732312163e-13
12,7,215.0,157.5,480650.5506136347,-345.7710574664746,1.0,4.39648317751562e-14
12,8,215.0,180.0,356578.92200532526,-349.5091067106524,1.0,3.9257486150745535e-13
12,9,215.0,202.5,396671.1423922187,-355.9540679324574,1.0,4.924949337237194e-13
12,10,215.0,225.0,640584.8263573284,-294.5695595080215,1.0,4.440892098500626e-16
12,11,215.0,247.5,501086.6530561852,-295.02230866180764,1.0,1.1324274851176597e-13
12,12,215.0,270.0,387023.74526096706,-291.6423096941788,1.0,6.199485369506874e-13
12,13,215.0,292.5,301643.42723219004,-410.5744077546709,1.0,9.920952948050399e-13
12,14,215.0,315.0,389721.36014100054,-284.5836914012501,1.0,4.787281682183675e-13
12,15,215.0,337.5,481340.60263973195,-345.82019371462707,1.0,4.440892098500626e-14
13,0,216.0,0.0,343710.4001399323,-349.42327012200064,1.0,7.416289804496046e-13
13,1,216.0,22.5,374731.18749163474,-355.98672841809963,1.0,3.752553823233029e-13
13,2,216.0,45.0,648693.320629484,-294.3545337772213,1.0,4.440892098500626e-16
13,3,216.0,67.5,510011.49089368765,-295.0974676355513,1.0,9.636735853746359e-14
13,4,216.0,90.0,394220.5263026183,-291.72348513826915,1.0,5.644373857194296e-13
13,5,216.0,112.5,310674.98718470486,-410.1358202156358,1.0,1.2438938767900254e-12
13,6,216.0,135.0,390107.41548016184,-284.6240350995862,1.0,4.649614027130156e-13
13,7,216.0,157.5,472163.8724338593,-345.646854984058,1.0,5.0182080713057076e-14
13,8,216.0,180.0,343612.4673891201,-349.41881686265344,1.0,7.434053372890048e-13
13,9,216.0,202.5,376206.77997131523,-356.0175865212093,1.0,3.7703173916270316e-13
13,10,216.0,225.0,649122.284957939,-294.3156277473421,1.0,8.881784197001252e-16
13,11,216.0,247.5,510458.0953268939,-295.0761015655711,1.0,9.459100169806334e-14
13,12,216.0,270.0,393502.6356093969,-291.7648260861399,1.0,5.74207348336131e-13
13,13,216.0,292.5,310993.9909989054,-410.1048879947351,1.0,1.2523315717771766e-12
13,14,216.0,315.0,390146.0207321141,-284.582517567951,1.0,4.725109192804666e-13
13,15,216.0,337.5,472844.2993877637,-345.69664422919294,1.0,5.10702591327572e-14
14,0,217.0,0.0,331263.5140249331,-349.3366997156117,1.0,6.261657858885883e-13
14,1,217.0,22.5,355018.3819500594,-356.06878921431206,1.0,6.954437026251981e-13
14,2,217.0,45.0,620394.2595316104,-358.63602078542414,1.0,0.0
14,3,217.0,67.5,33657.176818515065,-449.03538839231226,1.0,4.1318060084449826e-12
14,4,217.0,90.0,400800.0460611395,-291.8429295545929,1.0,4.4231285301066237e-13
14,5,217.0,112.5,320860.14959938906,-409.6793567296476,1.0,8.36664071357518e-13
14,6,217.0,135.0,390550.48001831403,-284.6267950433142,1.0,4.591882429849647e-13
14,7,217.0,157.5,463982.02650672453,-345.52766681599263,1.0,6.128431095930864e-14
14,8,217.0,180.0,331142.45351255784,-349.3309937388304,1.0,6.221689829999377e-13
14,9,217.0,202.5,356493.57050220587,-356.09944436498233,1.0,6.838973831690964e-13
14,10,217.0,225.0,618821.2484926622,-358.61539752629784,1.0,4.440892098500626e-16
14,11,217.0,247.5,31944.261037686378,-448.1075278270549,1.0,4.9666937229631e-12
14,12,217.0,270.0,400074.4737263043,-291.88447510221965,1.0,4.503064587879635e-13
14,13,217.0,292.5,321177.471668415,-409.6514214612655,1.0,7.860379014346108e-13
