target_jacobi,phase_index,phase_rad,x,y,z,xdot,ydot,zdot,point_jacobi,mapping_time_days,rotation_angle_rad,curve_samples,max_map_residual,curve_jacobi_span
2.9221,20,2.2046264235717845,0.8061167911503231,-0.07143365718227788,0.029937253259170547,-0.09009512789057644,0.5002436117412761,0.035009014905693074,2.922099999992909,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,21,2.3148577447503738,0.8053739932778183,-0.07213003003210518,0.027296505870616116,-0.08989207152305748,0.5007594894489802,0.03950127928488215,2.9220999999945154,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,22,2.425089065928963,0.8044590393716158,-0.07251070230354487,0.02430378845718923,-0.08932352754358612,0.5015861665871331,0.04358166194867753,2.92209999999508,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,23,2.5353203871075523,0.8034268835623096,-0.07254146197739968,0.02102955079648014,-0.08843562124061996,0.5026705139802982,0.04722772945728162,2.9220999999946367,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,24,2.6455517082861415,0.8023476521032838,-0.07224180057485892,0.017546562018603693,-0.08732978535603834,0.503920311904884,0.05041411668242673,2.922099999993531,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,25,2.7557830294647307,0.8012970522262128,-0.0716868522035703,0.013923068869324373,-0.08614660668432542,0.5052171550665595,0.053106391071382236,2.922099999992081,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,26,2.86601435064332,0.8003451347492,-0.07099278915399528,0.01021740414391769,-0.08503833184116241,0.5064379420500911,0.05525751497873512,2.9220999999904542,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,27,2.9762456718219092,0.7995468062645721,-0.07028869697643346,0.006475779158352303,-0.08413785173612945,0.5074779706342918,0.05680903143256888,2.9220999999888324,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,28,3.0864769930004985,0.7989365114784214,-0.06968216629439326,0.002733858211115146,-0.08353213480025776,0.5082690322853417,0.05769719038862795,2.9220999999874366,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,29,3.1967083141790877,0.7985279389788983,-0.06922877111613057,-0.0009789854689361086,-0.08324642460618518,0.5087883434337201,0.057862361223292254,2.9220999999865387,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
2.9221,30,3.306939635357677,0.7983181100085145,-0.0689163045997766,-0.004635231017264314,-0.08324307075746466,0.5090567663872947,0.05725899959744041,2.922099999986266,14.749327602275182,1.4548474691039088,57,4.57610745983986e-10,8.813838547894193e-12
