kind,sample,phase_deg,periapsis_radius_km,time_days,x_nd,y_nd,z_nd,xdot_nd,ydot_nd,zdot_nd,earth_distance_km,jacobi
targeted_trajectory,41,14.88928708770439,6563.000041081413,46.55444321856387,0.9914251195135679,-0.008040940390400231,2.101947625197152e-22,-0.01327833402165125,0.01366601625637982,-7.996505405372254e-22,1758228.792105066,3.000356027154449
targeted_trajectory,42,14.88928708770439,6563.000041081413,47.68991744340687,0.9911691491892205,-0.00776613971084569,1.944630050004207e-22,-0.01292696644460563,0.01446750002443633,-8.110146429459761e-22,1758928.823760697,3.000356027154448
targeted_trajectory,43,14.88928708770439,6563.000041081413,48.82539166824988,0.9909202823298868,-0.00747592253371214,1.785179768093725e-22,-0.01255108461579514,0.01524433569411222,-8.21486891741637e-22,1759134.572381452,3.000356027154448
targeted_trajectory,44,14.88928708770439,6563.000041081413,49.96086589309294,0.9906789921652099,-0.007170782916351892,1.623771591263168e-22,-0.01215127325856801,0.01599522726561971,-8.31060820925637e-22,1758938.482471868,3.000356027154448
targeted_trajectory,45,14.88928708770439,6563.000041081413,51.09634011793594,0.9904457398124659,-0.006851240463720213,1.460581718916286e-22,-0.01172818913362169,0.01671885629608666,-8.397287474004272e-22,1758433.725798383,3.000356027154448
targeted_trajectory,46,14.88928708770439,6563.000041081413,52.23181434277895,0.990220972796564,-0.006517840678918128,1.295787940909269e-22,-0.01128256842433358,0.01741389107394416,-8.47482130014215e-22,1757713.781818321,3.000356027154448
targeted_trajectory,47,14.88928708770439,6563.000041081413,53.367288567622,0.9900051234312299,-0.006171155123728918,1.129569769133121e-22,-0.01081523352821877,0.0180789969080291,-8.543119404287874e-22,1756871.960528909,3.000356027154448
targeted_trajectory,48,14.88928708770439,6563.000041081413,54.50276279246501,0.9897986070752324,-0.005811781367041482,9.621084954491001e-23,-0.01032709901863218,0.0187128475575145,-8.602090462653915e-22,1756000.870146679,3.000356027154448
targeted_trajectory,49,14.88928708770439,6563.000041081413,55.63823701730801,0.989601820282354,-0.005440342699041358,7.935871736845367e-23,-0.009819176518362525,0.01931413777641658,-8.65164605129832e-22,1755191.833679051,3.000356027154448
targeted_trajectory,50,14.88928708770439,6563.000041081413,56.77371124215107,0.9894151388689975,-0.005057487590139995,6.241905238577759e-23,-0.009292578214071945,0.01988159688618158,-8.69170466185066e-22,1754534.2603026,3.000356027154448
targeted_trajectory,51,14.88928708770439,6563.000041081413,57.90918546699407,0.9892389159286306,-0.004663888875942648,4.541047576419594e-23,-0.008748518740645325,0.02041400322342386,-8.722195739946214e-22,1754114.979452774,3.000356027154448
targeted_trajectory,52,14.88928708770439,6563.000041081413,59.04465969183708,0.989073479827445,-0.004260242653221677,2.835173252920956e-23,-0.008188315180176929,0.02091019924004524,-8.743063674993999e-22,1754017.547569267,3.000356027154448
targeted_trajectory,53,14.88928708770439,6563.000041081413,60.18013391668013,0.9889191322202908,-0.003847266876896037,1.126165858203093e-23,-0.007613384953641904,0.02136910696355863,-8.754271653347091e-22,1754321.539422136,3.000356027154448
targeted_trajectory,54,14.88928708770439,6563.000041081413,61.31560814152314,0.988776146129808,-0.003425699654364039,-5.840859594346428e-24,-0.007025241435315408,0.02178974346123432,-8.75580527380561e-22,1755101.837737879,3.000356027154448
targeted_trajectory,55,14.88928708770439,6563.000041081413,62.45108236636614,0.9886447641343376,-0.002996297241043046,-2.293693197037294e-23,-0.006425487190325544,0.02217123589805591,-8.747675816062505e-22,1756427.936315915,3.000356027154448
targeted_trajectory,56,14.88928708770439,6563.000041081413,63.58655659120915,0.9885251967113191,-0.002559831749376094,-4.000771795934776e-23,-0.005815804822225134,0.02251283574093706,-8.729923050467851e-22,1758363.272837821,3.000356027154448
targeted_trajectory,57,14.88928708770439,6563.000041081413,64.7220308160522,0.9884176207821881,-0.002117088592504643,-5.703448435937793e-23,-0.005197945516187192,0.02281393164527619,-8.702617482293886e-22,1760964.608000594,3.000356027154448
targeted_trajectory,58,14.88928708770439,6563.000041081413,65.85750504089521,0.9883221785020959,-0.001668863692826688,-7.399866704839894e-23,-0.004573715468646164,0.02307406056867536,-8.665861935999727e-22,1764281.467352786,3.000356027154448
targeted_trajectory,59,14.88928708770439,6563.000041081413,66.99297926573821,0.9882389763330134,-0.001215960494242418,-9.088193506626168e-23,-0.003944960498823453,0.02329291669273847,-8.619792404663935e-22,1768355.661224059,3.000356027154448
targeted_trajectory,60,14.88928708770439,6563.000041081413,68.12845349058126,0.9881680844320532,-0.000759186824500179,-1.076662555962983e-22,-0.003313549233709973,0.02347035779726389,-8.564578115917649e-22,1773220.896402592,3.000356027154448
targeted_trajectory,61,14.88928708770439,6563.000041081413,69.26392771542427,0.9881095363783848,-0.0002993516601781731,-1.243339582934802e-22,-0.002681355337851682,0.02360640881931897,-8.500420796822724e-22,1778902.490782524,3.000356027154448
targeted_trajectory,62,14.88928708770439,6563.000041081413,70.39940194026728,0.9880633292523152,0.0001627381489645196,-1.408677974048643e-22,-0.002050239315734835,0.02370126243760951,-8.427553154070569e-22,1785417.199178077,3.000356027154448
targeted_trajectory,63,14.88928708770439,6563.000041081413,71.53487616511033,0.9880294240694739,0.0006262811375798744,-1.57251010193598e-22,-0.001422030442482244,0.02375527664312201,-8.346236620118537e-22,1792773.155037895,3.000356027154448
targeted_trajectory,64,14.88928708770439,6563.000041081413,72.67035038995334,0.9880077465621758,0.001090484406034684,-1.734673703084015e-22,-0.000798509375165377,0.02376896938168885,-8.256758447805163e-22,1800969.92908419,3.000356027154448
targeted_trajectory,65,14.88928708770439,6563.000041081413,73.80582461479635,0.9879981882895262,0.001554566670052683,-1.895012349291574e-22,-0.0001813919623369785,0.02374301047386147,-8.159428263143497e-22,1809998.702164046,3.000356027154448
targeted_trajectory,66,14.88928708770439,6563.000041081413,74.9412988396394,0.9880006080483049,0.002017761128398523,-2.05337584754631e-22,0.0004276852937461515,0.02367821112370188,-8.054574206385809e-22,1819842.546046691,3.000356027154448
targeted_trajectory,67,14.88928708770439,6563.000041081413,76.07677306448241,0.9880148335485947,0.002479318105268176,-2.209620561658765e-22,0.001027177753979679,0.02357551141364493,-7.942538803751955e-22,1830476.802732691,3.000356027154448
targeted_trajectory,68,14.88928708770439,6563.000041081413,77.2122472893254,0.9880406633119072,0.002938507432436567,-2.363609651819945e-22,0.001615642872305517,0.02343596624238546,-7.823674715876957e-22,1841869.550219314,3.000356027154448
targeted_trajectory,69,14.88928708770439,6563.000041081413,78.34772151416847,0.9880778687454306,0.003394620545492945,-2.515213231068803e-22,0.002191747982618944,0.02326073019428211,-7.698340504324661e-22,1853982.140706796,3.000356027154448
